"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
10100,"Northeast Climate Region",192304,42.2,30,-1.6,43.8
10100,"Northeast Climate Region",192305,53.1,26,-2.1,55.2
10100,"Northeast Climate Region",192306,65.4,97,1.4,64
10100,"Northeast Climate Region",192307,66.4,9,-2.5,68.9
10100,"Northeast Climate Region",192308,64.5,13,-2.2,66.7
10100,"Northeast Climate Region",192309,60.4,73,0.8,59.6
10100,"Northeast Climate Region",192310,47.8,42,-0.9,48.7
10100,"Northeast Climate Region",192311,36.8,54,-0.4,37.2
10100,"Northeast Climate Region",192312,33.4,122,7.7,25.7
10100,"Northeast Climate Region",192401,22.1,71,0.8,21.3
10100,"Northeast Climate Region",192402,18.2,19,-4.3,22.5
10100,"Northeast Climate Region",192403,31.3,50,-1.0,32.3
10100,"Northeast Climate Region",192404,41.4,22,-2.4,43.8
10100,"Northeast Climate Region",192405,50.9,4,-4.3,55.2
10100,"Northeast Climate Region",192406,61.8,16,-2.2,64
10100,"Northeast Climate Region",192407,67.3,19,-1.6,68.9
10100,"Northeast Climate Region",192408,66.2,41,-0.5,66.7
10100,"Northeast Climate Region",192409,56.4,6,-3.2,59.6
10100,"Northeast Climate Region",192410,48.5,53,-0.2,48.7
10100,"Northeast Climate Region",192411,36.7,51,-0.5,37.2
10100,"Northeast Climate Region",192412,22.9,27,-2.8,25.7
10100,"Northeast Climate Region",192501,16.9,22,-4.4,21.3
10100,"Northeast Climate Region",192502,29.2,118,6.7,22.5
10100,"Northeast Climate Region",192503,35.5,101,3.2,32.3
10100,"Northeast Climate Region",192504,45.2,83,1.4,43.8
10100,"Northeast Climate Region",192505,51.2,6,-4.0,55.2
10100,"Northeast Climate Region",192506,66.7,115,2.7,64
10100,"Northeast Climate Region",192507,66.8,14,-2.1,68.9
10100,"Northeast Climate Region",192508,66.1,39,-0.6,66.7
10100,"Northeast Climate Region",192509,60.5,78,0.9,59.6
10100,"Northeast Climate Region",192510,41.5,1,-7.2,48.7
10100,"Northeast Climate Region",192511,35.2,25,-2.0,37.2
10100,"Northeast Climate Region",192512,25.1,48,-0.6,25.7
10100,"Northeast Climate Region",192601,21.3,61,-0.0,21.3
10100,"Northeast Climate Region",192602,20.5,36,-2.0,22.5
10100,"Northeast Climate Region",192603,25.9,5,-6.4,32.3
10100,"Northeast Climate Region",192604,38.4,2,-5.4,43.8
10100,"Northeast Climate Region",192605,52.9,19,-2.3,55.2
10100,"Northeast Climate Region",192606,60.0,4,-4.0,64
10100,"Northeast Climate Region",192607,67.6,24,-1.3,68.9
10100,"Northeast Climate Region",192608,66.8,61,0.1,66.7
10100,"Northeast Climate Region",192609,58.7,35,-0.9,59.6
10100,"Northeast Climate Region",192610,46.9,26,-1.8,48.7
10100,"Northeast Climate Region",192611,35.9,37,-1.3,37.2
10100,"Northeast Climate Region",192612,20.6,12,-5.1,25.7
10100,"Northeast Climate Region",192701,21.1,58,-0.2,21.3
10100,"Northeast Climate Region",192702,26.2,101,3.7,22.5
10100,"Northeast Climate Region",192703,35.2,99,2.9,32.3
10100,"Northeast Climate Region",192704,42.6,36,-1.2,43.8
10100,"Northeast Climate Region",192705,52.6,14,-2.6,55.2
10100,"Northeast Climate Region",192706,59.9,3,-4.1,64
10100,"Northeast Climate Region",192707,68.0,34,-0.9,68.9
10100,"Northeast Climate Region",192708,62.4,2,-4.3,66.7
10100,"Northeast Climate Region",192709,60.0,63,0.4,59.6
10100,"Northeast Climate Region",192710,51.3,103,2.6,48.7
10100,"Northeast Climate Region",192711,40.7,108,3.5,37.2
10100,"Northeast Climate Region",192712,27.4,72,1.7,25.7
10100,"Northeast Climate Region",192801,23.1,84,1.8,21.3
10100,"Northeast Climate Region",192802,22.6,60,0.1,22.5
10100,"Northeast Climate Region",192803,30.2,40,-2.1,32.3
10100,"Northeast Climate Region",192804,40.7,10,-3.1,43.8
10100,"Northeast Climate Region",192805,53.5,30,-1.7,55.2
10100,"Northeast Climate Region",192806,61.3,11,-2.7,64
10100,"Northeast Climate Region",192807,69.1,68,0.2,68.9
10100,"Northeast Climate Region",192808,69.2,106,2.5,66.7
10100,"Northeast Climate Region",192809,56.2,4,-3.4,59.6
10100,"Northeast Climate Region",192810,49.7,75,1.0,48.7
10100,"Northeast Climate Region",192811,37.4,59,0.2,37.2
10100,"Northeast Climate Region",192812,29.4,103,3.7,25.7
10100,"Northeast Climate Region",192901,20.6,49,-0.7,21.3
10100,"Northeast Climate Region",192902,21.7,48,-0.8,22.5
10100,"Northeast Climate Region",192903,36.2,110,3.9,32.3
10100,"Northeast Climate Region",192904,44.5,71,0.7,43.8
10100,"Northeast Climate Region",192905,54.4,43,-0.8,55.2
10100,"Northeast Climate Region",192906,63.9,53,-0.1,64
10100,"Northeast Climate Region",192907,67.8,27,-1.1,68.9
10100,"Northeast Climate Region",192908,63.9,6,-2.8,66.7
10100,"Northeast Climate Region",192909,61.1,91,1.5,59.6
10100,"Northeast Climate Region",192910,46.5,20,-2.2,48.7
10100,"Northeast Climate Region",192911,36.4,45,-0.8,37.2
10100,"Northeast Climate Region",192912,24.8,46,-0.9,25.7
10100,"Northeast Climate Region",193001,22.3,74,1.0,21.3
10100,"Northeast Climate Region",193002,26.1,96,3.6,22.5
10100,"Northeast Climate Region",193003,31.7,56,-0.6,32.3
10100,"Northeast Climate Region",193004,42.2,30,-1.6,43.8
10100,"Northeast Climate Region",193005,56.7,84,1.5,55.2
10100,"Northeast Climate Region",193006,66.9,117,2.9,64
10100,"Northeast Climate Region",193007,68.5,46,-0.4,68.9
10100,"Northeast Climate Region",193008,66.0,35,-0.7,66.7
10100,"Northeast Climate Region",193009,62.7,113,3.1,59.6
10100,"Northeast Climate Region",193010,47.5,37,-1.2,48.7
10100,"Northeast Climate Region",193011,38.1,76,0.9,37.2
10100,"Northeast Climate Region",193012,25.4,54,-0.3,25.7
10100,"Northeast Climate Region",193101,21.7,67,0.4,21.3
10100,"Northeast Climate Region",193102,24.2,76,1.7,22.5
10100,"Northeast Climate Region",193103,32.9,74,0.6,32.3
10100,"Northeast Climate Region",193104,44.6,75,0.8,43.8
10100,"Northeast Climate Region",193105,55.9,66,0.7,55.2
10100,"Northeast Climate Region",193106,64.2,59,0.2,64
